 # time [a.u.]         RMT-1           RMT-3           RMT-6          SAE
 1.44000000E+01 -2.94503290E-04 -2.81717506E-04 -2.81280124E-04 -3.05390161E-04
 1.45000000E+01 -3.02031853E-04 -2.88917339E-04 -2.88467406E-04 -3.13199792E-04
 1.46000000E+01 -3.09587317E-04 -2.96142819E-04 -2.95680292E-04 -3.21038277E-04
 1.47000000E+01 -3.17165722E-04 -3.03390169E-04 -3.02915030E-04 -3.28901554E-04
 1.48000000E+01 -3.24762956E-04 -3.10655470E-04 -3.10167723E-04 -3.36785403E-04
 1.49000000E+01 -3.32374759E-04 -3.17934658E-04 -3.17434330E-04 -3.44685443E-04
 1.50000000E+01 -3.39996711E-04 -3.25223518E-04 -3.24710661E-04 -3.52597132E-04
 1.51000000E+01 -3.47624238E-04 -3.32517687E-04 -3.31992378E-04 -3.60515767E-04
 1.52000000E+01 -3.55252609E-04 -3.39812653E-04 -3.39274993E-04 -3.68436483E-04
 1.53000000E+01 -3.62876944E-04 -3.47103759E-04 -3.46553873E-04 -3.76354254E-04
 1.54000000E+01 -3.70492215E-04 -3.54386210E-04 -3.53824248E-04 -3.84263895E-04
 1.55000000E+01 -3.78093259E-04 -3.61655078E-04 -3.61081212E-04 -3.92160061E-04
 1.56000000E+01 -3.85674772E-04 -3.68905302E-04 -3.68319728E-04 -4.00037255E-04
 1.57000000E+01 -3.93231316E-04 -3.76131694E-04 -3.75534628E-04 -4.07889822E-04
 1.58000000E+01 -4.00757327E-04 -3.83328943E-04 -3.82720623E-04 -4.15711961E-04
 1.59000000E+01 -4.08247117E-04 -3.90491623E-04 -3.89872303E-04 -4.23497725E-04
 1.60000000E+01 -4.15694869E-04 -3.97614185E-04 -3.96984139E-04 -4.31241024E-04
 1.61000000E+01 -4.23094646E-04 -4.04690964E-04 -4.04050480E-04 -4.38935632E-04
 1.62000000E+01 -4.30440386E-04 -4.11716177E-04 -4.11065559E-04 -4.46575193E-04
 1.63000000E+01 -4.37725913E-04 -4.18683932E-04 -4.18023497E-04 -4.54153224E-04
 1.64000000E+01 -4.44944932E-04 -4.25588227E-04 -4.24918305E-04 -4.61663125E-04
 1.65000000E+01 -4.52091041E-04 -4.32422955E-04 -4.31743888E-04 -4.69098181E-04
 1.66000000E+01 -4.59157729E-04 -4.39181910E-04 -4.38494048E-04 -4.76451575E-04
 1.67000000E+01 -4.66138387E-04 -4.45858788E-04 -4.45162492E-04 -4.83716392E-04
 1.68000000E+01 -4.73026315E-04 -4.52447201E-04 -4.51742840E-04 -4.90885624E-04
 1.69000000E+01 -4.79814741E-04 -4.58940688E-04 -4.58228637E-04 -4.97952187E-04
 1.70000000E+01 -4.86496835E-04 -4.65332728E-04 -4.64613367E-04 -5.04908921E-04
 1.71000000E+01 -4.93065722E-04 -4.71616756E-04 -4.70890469E-04 -5.11748603E-04
 1.72000000E+01 -4.99514497E-04 -4.77786174E-04 -4.77053347E-04 -5.18463955E-04
